track_name,artists,album_name,album_art_url,played_at,spotify_url,duration_m,played_at_date
Love me or Leave me,DAY6,The Book of Us : The Demon,https://i.scdn.co/image/ab67616d0000b273a220092391684fd27f02affb,2025-01-10 09:45:35.905000+00:00,https://open.spotify.com/track/4srbKZGPFWK1rqVFS9KDFR,3.7127499999999998,2025-01-10
Sweet Chaos,DAY6,The Book of Us : Entropy,https://i.scdn.co/image/ab67616d0000b273a98b928b07177a617b156c88,2025-01-10 09:41:52.592000+00:00,https://open.spotify.com/track/52Dx3quiQ9ZmtCg2Y2jqkm,3.7873333333333337,2025-01-10
Sad Ending,DAY6,Fourever,https://i.scdn.co/image/ab67616d0000b2730309970945710645006b9c9e,2025-01-10 09:38:04.611000+00:00,https://open.spotify.com/track/68Jm50sJpUdqu3IyMdFaXp,3.408,2025-01-10
I'm Fine,DAY6,Band Aid,https://i.scdn.co/image/ab67616d0000b273d746b397d3dd7ddd4d462065,2025-01-10 09:34:39.468000+00:00,https://open.spotify.com/track/0HEeafoIUSw9baWulU9WYC,3.260266666666667,2025-01-10
Shoot Me,DAY6,Shoot Me : Youth Part 1,https://i.scdn.co/image/ab67616d0000b273f52f5b7ffbac36712d05a318,2025-01-10 09:31:23.608000+00:00,https://open.spotify.com/track/5XZ4yL24BLKkysf4muf4yQ,2.9306,2025-01-10
How Can I Say,DAY6,SUNRISE,https://i.scdn.co/image/ab67616d0000b273877b49fcef4d02bb0bc0adc8,2025-01-10 09:28:27.359000+00:00,https://open.spotify.com/track/5VerWktMK3SgtSbcMJXeXG,3.3641333333333336,2025-01-10
I Wait,DAY6,SUNRISE,https://i.scdn.co/image/ab67616d0000b273877b49fcef4d02bb0bc0adc8,2025-01-10 09:25:05.554000+00:00,https://open.spotify.com/track/2ucxenk7DMnImzGMXOIFrd,3.644633333333333,2025-01-10
Somehow,DAY6,Shoot Me : Youth Part 1,https://i.scdn.co/image/ab67616d0000b273f52f5b7ffbac36712d05a318,2025-01-10 09:21:26.387000+00:00,https://open.spotify.com/track/1tVXHdJZbv9H5ZHpJ4zpHZ,3.374216666666667,2025-01-10
DANCE DANCE,DAY6,SUNRISE,https://i.scdn.co/image/ab67616d0000b273877b49fcef4d02bb0bc0adc8,2025-01-10 09:18:03.353000+00:00,https://open.spotify.com/track/6DYkLt9JPsf3obewkAnamY,3.7198333333333333,2025-01-10
HAPPY,DAY6,Fourever,https://i.scdn.co/image/ab67616d0000b2730309970945710645006b9c9e,2025-01-10 09:14:19.657000+00:00,https://open.spotify.com/track/1k68vKHNQXU5CHqcM7Yp7N,3.1655666666666664,2025-01-10
